layer,tensor,c_norm,ref_norm,best_scale,sc_inv_eps
2,ffn_sub_norm.output,358230.70938014233,98.97859946021087,0.00021756527908133613,0.6164060758626103
2,block_output,81656881.06449272,18759.043171213794,0.00020654136680690622,0.4378234186451284
3,input_layernorm.output,4283.785825645348,0.7380008929504869,0.00014576899726020695,0.5329798629858232
3,attn.q_pre_rope,253562.7336814304,44.545728678240366,0.0001568550504835399,0.4503567706817855
3,attn.k_pre_rope,313646.6145521102,48.98232045838692,0.0001484674047853462,0.31018676031743414
3,attn.v,594442.1847412917,116.41067707686506,0.000190874341945814,0.2235817859621569
3,attn_sub_norm.output,136175.7099926415,21.19894646100739,0.00014975407444899617,0.2731357006728224
3,post_attention_layernorm.output,245748.22659380475,45.71178765586459,0.00015595110494293112,0.5450573074019361
3,ffn.up_proj,3495437.146430329,6252.402557919185,0.001662696397026829,0.3687243220321869
3,ffn_sub_norm.output,442307.34922223486,83.57031981318202,0.00016257481355724614,0.5095358301573325
3,block_output,242458873.62911868,46063.428513072125,0.00018526012636692888,0.2216212016105169
4,input_layernorm.output,1881.9083399570766,0.36693221104345797,0.000166684840939991,0.5188141732560912
4,attn.q_pre_rope,122594.8148128623,22.632329975388423,0.00015879178337107353,0.5100522814603097
4,attn.k_pre_rope,171084.94108775325,30.265511307447014,0.00016660967204740708,0.3361415483550932
4,attn.v,185574.3073946391,41.18141020366535,0.00020809210606091813,0.3473974743118898
4,attn_sub_norm.output,131603.07716767112,19.75764425391448,0.00013851494816413137,0.385686480315454
4,post_attention_layernorm.output,140005.08385055166,27.060563451875918,0.0001699626395890151,0.47618096668618765
4,ffn.up_proj,2189911.727842015,4070.3983548192036,0.001713444527587546,0.3875494761978435
4,ffn_sub_norm.output,338979.57130482065,107.73880015544128,0.00018927824489265436,0.8033346466612745
4,block_output,382803911.00430703,74779.52178056816,0.00019098176984526998,0.21021615095089918
5,input_layernorm.output,1424.283328555102,0.29506970644693126,0.0001773131221597272,0.517175229129078
5,attn.q_pre_rope,120320.30085982996,20.15629174573105,0.0001447679319221842,0.5031949881627469
5,attn.k_pre_rope,173784.10672152962,31.684605350810887,0.00017506579277396347,0.2793031346635442
