
  L  site                   eps     sub_max      hf_max     fit_s
 16  x_norm_input        0.8056 ⚠       0.031       0.036    0.5780
 17  attn_sub_norm       0.8373 ⚠      10.394       6.094    0.2773
 17  ffn_sub_norm        0.8719 ⚠      56.138     115.500    0.6034
 17  gate                0.8364 ⚠  272376.604     552.000    0.0028
 17  k_pre_rope          0.6642 ⚠       5.436       5.500    0.7968
 17  q_pre_rope          0.6985 ⚠       3.289       2.672    0.7127
 17  up                  0.7188 ⚠     619.529     604.000    0.6758
 17  v                   0.8221 ⚠       7.350       6.969    0.5264
 17  x_norm              0.7965 ⚠       4.046       3.812    0.5971
 17  x_norm_input        0.7981 ⚠       0.037       0.037    0.5973
 18  attn_sub_norm       0.8805 ⚠       9.990       9.125    0.3952
 18  ffn_sub_norm        0.9091 ⚠      84.206      98.000    0.4389
 18  gate                0.8641 ⚠  333430.997     568.000    0.0027
 18  k_pre_rope          0.5459 ⚠       6.017       6.000    0.8806
 18  q_pre_rope          0.6078 ⚠       3.112       3.219    0.8014
 18  up                  0.7085 ⚠     500.137     524.000    0.7175
 18  v                   0.7368 ⚠       7.847       7.906    0.7273
 18  x_norm              0.7946 ⚠       3.868       3.625    0.6067
 18  x_norm_input        0.7925 ⚠       0.051       0.041    0.6260
 19  attn_sub_norm       0.9376 ⚠      31.020      10.938    0.1908
 19  ffn_sub_norm        0.8735 ⚠      98.865     140.000    0.5228
 19  gate                0.8625 ⚠  317205.365     584.000    0.0028
 19  k_pre_rope          0.5428 ⚠       5.366       6.625    0.8854
 19  q_pre_rope          0.6156 ⚠       4.057       4.719    0.8349
 19  up                  0.7187 ⚠     465.200     464.000    0.6787
 19  v                   0.7442 ⚠       9.546      10.062    0.6210
 19  x_norm              0.7991 ⚠       3.710       3.469    0.5884
 19  x_norm_input        0.8057 ⚠       0.042       0.037    0.5865
 20  attn_sub_norm       0.9500 ⚠      23.298      10.938    0.1477
 20  ffn_sub_norm        0.9263 ⚠      79.821     144.000    0.4213
 20  gate                0.9158 ⚠  425807.270     548.000    0.0024
 20  k_pre_rope          0.5991 ⚠       5.160       6.031    0.9084
 20  q_pre_rope          0.7288 ⚠       3.530       3.641    0.7377
 20  up                  0.7416 ⚠     512.631     480.000    0.6908
 20  v                   0.7665 ⚠       7.359       6.469    0.6419
 20  x_norm              0.8071 ⚠       3.594       3.781    0.5791
 20  x_norm_input        0.8029 ⚠       0.039       0.039    0.5951
 21  attn_sub_norm       0.9658 ⚠      36.997      11.312    0.0638
 21  ffn_sub_norm        0.9461 ⚠     159.671      73.000    0.3047
 21  gate                0.9282 ⚠  322282.823     460.000    0.0025
 21  k_pre_rope          0.6277 ⚠       4.497       5.625    0.9289
 21  q_pre_rope          0.7074 ⚠       2.766       3.359    0.7479
 21  up                  0.7535 ⚠     505.115     452.000    0.6860
 21  v                   0.8026 ⚠       6.212       6.812    0.6553
 21  x_norm              0.8238 ⚠       3.410       4.000    0.5632
 21  x_norm_input        0.8185 ⚠       0.046       0.041    0.5799
 22  attn_sub_norm       0.8082 ⚠      28.542      18.000    0.4770
 22  ffn_sub_norm        0.9505 ⚠      63.425     114.000    0.2957
 22  gate                0.9213 ⚠  263713.948     496.000    0.0024
 22  k_pre_rope          0.5551 ⚠       5.413       5.938    0.9144
 22  q_pre_rope          0.6713 ⚠       3.239       3.531    0.7954
 22  up                  0.7384 ⚠     562.036     652.000    0.6822
 22  v                   0.8426 ⚠       6.690       8.188    0.5552
 22  x_norm              0.8337 ⚠       3.553       3.703    0.5314
 22  x_norm_input        0.8414 ⚠       0.056       0.052    0.5418
 23  attn_sub_norm       0.9327 ⚠      23.578      10.375    0.1932
 23  ffn_sub_norm        0.9400 ⚠     108.221     109.500    0.2921
 23  gate                0.9405 ⚠  258057.032     484.000    0.0025
 23  k_pre_rope          0.6009 ⚠       5.209       6.219    0.8478
 23  q_pre_rope          0.6826 ⚠       4.153       3.781    0.7027
 23  up                  0.7482 ⚠     725.587     504.000    0.6743
 23  v                   0.5989 ⚠      16.014      15.125    0.7798
 23  x_norm              0.8342 ⚠       3.745       3.766    0.5396
 23  x_norm_input        0.8321 ⚠       0.057       0.053    0.5384
 24  attn_sub_norm       0.9256 ⚠      26.439      14.500    0.2533
 24  ffn_sub_norm        0.9486 ⚠      98.827      49.000    0.2464
 24  gate                0.9421 ⚠  253369.300     506.000    0.0028
 24  k_pre_rope          0.6098 ⚠       5.164       5.031    0.8881
 24  q_pre_rope          0.6858 ⚠       2.932       3.297    0.7127
 24  up                  0.7574 ⚠     452.712     446.000    0.6540
 24  v                   0.7953 ⚠      11.352       8.062    0.5494
 24  x_norm              0.8472 ⚠       3.676       3.422    0.5288
 24  x_norm_input        0.8402 ⚠       0.071       0.066    0.5334
 25  attn_sub_norm       0.8989 ⚠      67.944      53.250    0.4944
 25  ffn_sub_norm        0.9282 ⚠      96.114     199.000    0.3701
 25  gate                0.9220 ⚠  200508.624     480.000    0.0031
 25  k_pre_rope          0.5598 ⚠       4.152       6.000    0.9441
 25  q_pre_rope          0.6240 ⚠       2.652       2.578    0.7944
 25  up                  0.7487 ⚠     560.786     482.000    0.6848
 25  v                   0.8333 ⚠       7.000       4.594    0.5645
 25  x_norm              0.8456 ⚠       3.730       3.469    0.5470
 25  x_norm_input        0.8428 ⚠       0.087       0.081    0.5469
 26  attn_sub_norm       0.8703 ⚠      39.732      38.250    0.4710
 26  ffn_sub_norm        0.9427 ⚠      85.053     115.500    0.2602
 26  gate                0.9221 ⚠  221736.346     472.000    0.0032
 26  k_pre_rope          0.5921 ⚠       4.715       6.281    0.9631
 26  q_pre_rope          0.6389 ⚠       3.357       3.156    0.8020
 26  up                  0.7159 ⚠     522.731     404.000    0.7201
 26  v                   0.8639 ⚠       4.411       3.969    0.5724
 26  x_norm              0.8366 ⚠       3.686       3.672    0.5572
 26  x_norm_input        0.8415 ⚠       0.061       0.057    0.5633
 27  attn_sub_norm       0.9422 ⚠      43.016      33.750    0.2162
 27  ffn_sub_norm        0.9398 ⚠     114.242      96.000    0.2264
 27  gate                0.9229 ⚠  397340.863     478.000    0.0024
 27  k_pre_rope          0.6091 ⚠       3.845       4.000    0.8427
 27  q_pre_rope          0.6159 ⚠       2.252       3.422    0.8378
 27  up                  0.6863 ⚠     648.209     576.000    0.7615
 27  v                   0.7928 ⚠       7.075       5.188    0.6163
 27  x_norm              0.8336 ⚠       5.026       5.312    0.5175
 27  x_norm_input        0.8418 ⚠       0.070       0.067    0.5539
 28  attn_sub_norm       0.8755 ⚠      68.168      46.250    0.4096
 28  ffn_sub_norm        0.9377 ⚠      77.858      66.000    0.2772
 28  gate                0.9092 ⚠  184424.888     536.000    0.0034
 28  k_pre_rope          0.5669 ⚠       4.964       5.562    0.8378
 28  q_pre_rope          0.6247 ⚠       3.090       2.719    0.7760
 28  up                  0.5705 ⚠     671.292     524.000    0.9357
 28  v                   0.7221 ⚠       6.927       5.281    0.5974
 28  x_norm              0.8264 ⚠       6.055       6.219    0.5521
 28  x_norm_input        0.8415 ⚠       0.076       0.075    0.5045
 29  attn_sub_norm       0.9087 ⚠      41.312      46.250    0.3681
 29  ffn_sub_norm        0.8489 ⚠      95.674      73.000    0.4246
 29  gate                0.8608 ⚠  203346.562     422.000    0.0034
 29  k_pre_rope          0.5283 ⚠       5.934       5.250    0.9019
 29  q_pre_rope          0.6447 ⚠       2.597       2.734    0.7832
 29  up                  0.5345 ⚠     370.986     442.000    1.0287
 29  v                   0.6398 ⚠       4.241       4.281    0.7549
 29  x_norm              0.8394 ⚠       3.604       3.547    0.5148
 29  x_norm_input        0.8057 ⚠       0.095       0.096    0.5901

--- Top-10 worst ε ---
  L11 attn_sub_norm  ε=0.9716  sub_max=4.525 hf_max=7.625
  L21 attn_sub_norm  ε=0.9658  sub_max=36.997 hf_max=11.312
  L 6 gate           ε=0.9515  sub_max=116912.401 hf_max=418.000
  L22 ffn_sub_norm   ε=0.9505  sub_max=63.425 hf_max=114.000
  L20 attn_sub_norm  ε=0.9500  sub_max=23.298 hf_max=10.938
  L24 ffn_sub_norm   ε=0.9486  sub_max=98.827 hf_max=49.000
  L21 ffn_sub_norm   ε=0.9461  sub_max=159.671 hf_max=73.000
  L26 ffn_sub_norm   ε=0.9427  sub_max=85.053 hf_max=115.500
  L27 attn_sub_norm  ε=0.9422  sub_max=43.016 hf_max=33.750
  L24 gate           ε=0.9421  sub_max=253369.300 hf_max=506.000
